id,user_id,balance,total_earned,total_spent,created_at,updated_at
fe099c63-9314-40be-b4ad-0ea6b780040d,118062304602886337304,5,5,0,2025-07-21 01:48:46.533345,2025-07-21 01:48:46.533345
c41653c6-ff72-46a8-b7ce-1cc384bf9d9b,114528832035356418370,5,5,0,2025-07-21 02:21:17.984915,2025-07-21 02:21:17.984915
e3310c81-4503-4e03-9628-9c90dadc727f,111726292183513239471,5,5,0,2025-07-21 02:43:20.196424,2025-07-21 02:43:20.196424
fc4bb879-bea9-4952-9337-19f1a48adca0,104326468112117442384,5,5,0,2025-07-21 02:49:20.986968,2025-07-21 02:49:20.986968
bcfb1ec9-734e-408d-9c94-277c9318644b,111193450053314152898,5,5,0,2025-07-21 04:25:59.843186,2025-07-21 04:25:59.843186
baee7099-e7d4-4693-a168-dda4d6e4bc90,106153341655182038998,5,5,0,2025-07-21 06:38:44.359338,2025-07-21 06:38:44.359338
d98052eb-9b51-40a3-8849-de5e1e696432,112517642187689833539,5,5,0,2025-07-21 07:46:43.348168,2025-07-21 07:46:43.348168
89749432-d840-40d4-ad05-2fcebd96f6df,111742228232924330112,5,5,0,2025-07-21 08:52:00.311325,2025-07-21 08:52:00.311325
4caa2391-7784-44f9-a32e-d68581e7c401,100854228069357598377,5,5,0,2025-07-21 09:49:39.663994,2025-07-21 09:49:39.663994
2b097289-a0c7-4476-935b-5878745073c3,116278568077761670770,5,5,0,2025-07-21 12:46:22.984335,2025-07-21 12:46:22.984335
9d695090-f791-4d34-8e66-bba8467174c8,110295677771131349717,5,5,0,2025-07-21 13:55:06.444161,2025-07-21 13:55:06.444161
a6877445-0a19-4c6d-92e2-f0601ea993a6,109367693870245948873,5,5,0,2025-07-21 14:04:03.260643,2025-07-21 14:04:03.260643
85bc3808-51ea-41b0-a120-6caf5ef75204,111093041697654330947,5,5,0,2025-07-21 15:35:11.075805,2025-07-21 15:35:11.075805
2aca6bd0-09da-45c7-80ca-be0d9382ddea,104591688624434352902,5,5,0,2025-07-22 00:02:24.889418,2025-07-22 00:02:24.889418
cb9dbf01-ae5b-498c-9fa4-513d1405b1bc,107220667048277275584,5,5,0,2025-07-22 01:05:14.994944,2025-07-22 01:05:14.994944
806b2071-0bda-45b2-9c50-a779119b8636,117444607830423928999,5,5,0,2025-07-22 06:28:57.936216,2025-07-22 06:28:57.936216
f0c877c0-851e-49f7-8482-118c1813d593,108100797395924953652,5,5,0,2025-07-23 01:17:00.134359,2025-07-23 01:17:00.134359
17fb2cd9-a8b1-4cb6-9677-4cb3b41a3ab0,107372832389635407458,5,5,0,2025-07-23 03:48:50.328447,2025-07-23 03:48:50.328447
1f01c35c-946c-49ff-ad07-82f8abf380ee,115057740759379544346,5,5,0,2025-07-23 04:24:48.287913,2025-07-23 04:24:48.287913
40ed7de1-c0ca-4e19-a617-b871f01bc4af,101065572702452992246,5,5,0,2025-07-23 09:05:09.338087,2025-07-23 09:05:09.338087
5fc96109-a461-4efc-9160-f52d04198ba9,114516298647546209464,5,5,0,2025-07-23 15:08:58.003703,2025-07-23 15:08:58.003703
64f0e7f0-e45f-47f6-8e2d-b7051ea05469,110105121348902721898,5,5,0,2025-07-24 00:50:33.70359,2025-07-24 00:50:33.70359
6ebddd4e-0342-44a7-ac09-49004c4dd161,107930898254923410219,5,5,0,2025-07-24 02:16:50.507204,2025-07-24 02:16:50.507204
7aea94ba-710b-4da4-bcce-1fb4b89095eb,104120938342629025826,5,5,0,2025-07-24 07:54:13.679225,2025-07-24 07:54:13.679225
2a7ef8a8-a8e2-4661-83c6-6c1e2844b982,114540135917936868820,5,5,0,2025-07-28 06:26:44.313091,2025-07-28 06:26:44.313091
be5e3bf7-c042-4537-be63-2be03eeada85,106435015324213878218,5,5,0,2025-07-30 18:34:00.661587,2025-07-30 18:34:00.661587
cf5d7cc2-9e1c-4681-af9e-95da5ea7aedc,100743439367704370807,5,5,0,2025-07-31 16:09:48.036697,2025-07-31 16:09:48.036697
ad2fc452-286f-4563-be1a-2e07a8f47535,103916403894883238197,5,5,0,2025-08-01 04:40:55.003622,2025-08-01 04:40:55.003622
